date,EUR_HY_OAS,EUR_IG_OAS,VIX,DE10Y,EURUSD
2019-01-02,4.64,1.4,23.22,2.66,1.1357
2019-01-03,4.64,1.4,25.45,2.56,1.1399
2019-01-04,4.64,1.4,21.38,2.67,1.141
2019-01-07,4.64,1.4,21.4,2.7,1.1468
2019-01-08,4.64,1.4,20.47,2.73,1.1444
2019-01-09,4.64,1.4,19.98,2.74,1.1524
2019-01-10,4.64,1.4,19.5,2.74,1.1517
2019-01-11,4.64,1.4,18.19,2.71,1.1479
2019-01-14,4.64,1.4,19.07,2.71,1.1479
2019-01-15,4.64,1.4,18.6,2.72,1.1392
2019-01-16,4.64,1.4,19.04,2.73,1.1408
2019-01-17,4.64,1.4,18.06,2.75,1.1386
2019-01-18,4.64,1.4,17.8,2.79,1.1362
2019-01-21,4.64,1.4,17.8,2.79,1.1362
2019-01-22,4.64,1.4,20.8,2.74,1.1359
2019-01-23,4.64,1.4,19.52,2.76,1.139
2019-01-24,4.64,1.4,18.89,2.72,1.1322
2019-01-25,4.64,1.4,17.42,2.76,1.1407
2019-01-28,4.64,1.4,18.87,2.75,1.1438
2019-01-29,4.64,1.4,19.13,2.72,1.1424
2019-01-30,4.64,1.4,17.66,2.7,1.1418
2019-01-31,4.64,1.4,16.57,2.63,1.1454
2019-02-01,4.64,1.4,16.14,2.7,1.1474
2019-02-04,4.64,1.4,15.73,2.73,1.1438
2019-02-05,4.64,1.4,15.57,2.71,1.1406
2019-02-06,4.64,1.4,15.38,2.7,1.138
2019-02-07,4.64,1.4,16.37,2.65,1.1357
2019-02-08,4.64,1.4,15.72,2.63,1.1326
2019-02-11,4.64,1.4,15.97,2.65,1.1277
2019-02-12,4.64,1.4,15.43,2.68,1.1316
2019-02-13,4.64,1.4,15.65,2.71,1.1288
2019-02-14,4.64,1.4,16.22,2.66,1.1284
2019-02-15,4.64,1.4,14.91,2.66,1.1268
2019-02-18,4.64,1.4,14.91,2.66,1.1268
2019-02-19,4.64,1.4,14.88,2.65,1.1328
2019-02-20,4.64,1.4,14.02,2.65,1.1328
2019-02-21,4.64,1.4,14.46,2.69,1.1338
2019-02-22,4.64,1.4,13.51,2.65,1.1342
2019-02-25,4.64,1.4,14.85,2.67,1.1345
2019-02-26,4.64,1.4,15.17,2.64,1.1374
2019-02-27,4.64,1.4,14.7,2.69,1.137
2019-02-28,4.64,1.4,14.78,2.73,1.1379
2019-03-01,4.64,1.4,13.57,2.76,1.1376
2019-03-04,4.64,1.4,14.63,2.72,1.1328
2019-03-05,4.64,1.4,14.74,2.72,1.13
2019-03-06,4.64,1.4,15.74,2.69,1.132
2019-03-07,4.64,1.4,16.59,2.64,1.1214
2019-03-08,4.64,1.4,16.05,2.62,1.1243
2019-03-11,4.64,1.4,14.33,2.64,1.1226
2019-03-12,4.64,1.4,13.77,2.61,1.1276
2019-03-13,4.64,1.4,13.41,2.61,1.131
2019-03-14,4.64,1.4,13.5,2.63,1.1304
2019-03-15,4.64,1.4,12.88,2.59,1.1326
2019-03-18,4.64,1.4,13.1,2.6,1.1337
2019-03-19,4.64,1.4,13.56,2.61,1.1346
2019-03-20,4.64,1.4,13.91,2.54,1.1352
2019-03-21,4.64,1.4,13.63,2.54,1.1361
2019-03-22,4.64,1.4,16.48,2.44,1.1282
2019-03-25,4.64,1.4,16.33,2.43,1.1324
2019-03-26,4.64,1.4,14.68,2.41,1.128
2019-03-27,4.64,1.4,15.15,2.39,1.125
2019-03-28,4.64,1.4,14.43,2.39,1.1236
2019-03-29,4.64,1.4,13.71,2.41,1.1228
2019-04-01,4.64,1.4,13.4,2.49,1.121
2019-04-02,4.64,1.4,13.36,2.48,1.1186
2019-04-03,4.64,1.4,13.74,2.52,1.1242
2019-04-04,4.64,1.4,13.58,2.51,1.1216
2019-04-05,4.64,1.4,12.82,2.5,1.1217
2019-04-08,4.64,1.4,13.18,2.52,1.1262
2019-04-09,4.64,1.4,14.28,2.51,1.1278
2019-04-10,4.64,1.4,13.3,2.48,1.1266
2019-04-11,4.64,1.4,13.02,2.51,1.1262
2019-04-12,4.64,1.4,12.01,2.56,1.1304
2019-04-15,4.64,1.4,12.32,2.55,1.1304
2019-04-16,4.64,1.4,12.18,2.6,1.1293
2019-04-17,4.64,1.4,12.6,2.59,1.1297
2019-04-18,4.64,1.4,12.09,2.57,1.1241
2019-04-19,4.64,1.4,12.09,2.57,1.1246
2019-04-22,4.64,1.4,12.42,2.59,1.1258
2019-04-23,4.64,1.4,12.28,2.57,1.1213
2019-04-24,4.64,1.4,13.14,2.53,1.1192
2019-04-25,4.64,1.4,13.25,2.54,1.114
2019-04-26,4.64,1.4,12.73,2.51,1.1154
2019-04-29,4.64,1.4,13.11,2.54,1.1166
2019-04-30,4.64,1.4,13.12,2.51,1.1201
2019-05-01,4.64,1.4,14.8,2.52,1.1246
2019-05-02,4.64,1.4,14.42,2.55,1.1184
2019-05-03,4.64,1.4,12.87,2.54,1.1186
2019-05-06,4.64,1.4,15.44,2.51,1.1197
2019-05-07,4.64,1.4,19.32,2.45,1.1178
2019-05-08,4.64,1.4,19.4,2.49,1.1206
2019-05-09,4.64,1.4,19.1,2.45,1.1228
2019-05-10,4.64,1.4,16.04,2.47,1.1241
2019-05-13,4.64,1.4,20.55,2.4,1.1232
2019-05-14,4.64,1.4,18.06,2.42,1.1207
2019-05-15,4.64,1.4,16.44,2.37,1.1208
2019-05-16,4.64,1.4,15.29,2.4,1.1178
2019-05-17,4.64,1.4,15.96,2.39,1.1166
2019-05-20,4.64,1.4,16.31,2.41,1.117
2019-05-21,4.64,1.4,14.95,2.43,1.1158
2019-05-22,4.64,1.4,14.75,2.39,1.1156
2019-05-23,4.64,1.4,16.92,2.31,1.1172
2019-05-24,4.64,1.4,15.85,2.32,1.1197
2019-05-27,4.64,1.4,15.85,2.32,1.1197
2019-05-28,4.64,1.4,17.5,2.26,1.1177
2019-05-29,4.64,1.4,17.9,2.25,1.1136
2019-05-30,4.64,1.4,17.3,2.22,1.114
2019-05-31,4.64,1.4,18.71,2.14,1.1149
2019-06-03,4.64,1.4,18.86,2.07,1.1206
2019-06-04,4.64,1.4,16.97,2.12,1.1236
2019-06-05,4.64,1.4,16.09,2.12,1.1242
2019-06-06,4.64,1.4,15.93,2.12,1.1294
